,Lat,Lon,Base,Hour,Day,labels_kmeans,labels_dbscan,labels_agg
216201,40.7298,-73.9929,1,20,2,0,1,0
473327,40.689,-73.9528,3,19,6,0,1,0
269599,40.6418,-73.7883,2,9,1,2,3,3
298941,40.703,-74.0119,2,12,3,0,1,0
141449,40.7085,-74.0006,1,8,0,0,1,0
270862,40.7116,-74.0147,2,16,1,0,1,0
452151,40.7521,-73.9854,3,15,3,1,1,1
525735,40.7684,-73.9848,3,17,6,1,1,1
375491,40.706,-74.0091,3,21,6,0,1,0
556936,40.7378,-73.9919,4,18,0,0,1,1
294239,40.76,-73.9613,2,7,2,1,1,1
338739,40.7581,-73.9892,3,18,2,1,1,1
145969,40.743,-73.9814,1,7,1,1,1,1
353721,40.7461,-73.9926,3,14,4,1,1,1
85363,40.7195,-74.0003,1,19,3,0,1,0
327540,40.7731,-73.9602,3,7,1,1,1,1
192593,40.645,-73.7818,1,10,0,2,3,3
192054,40.6554,-73.9228,1,7,0,0,1,0
79293,40.7596,-73.9785,1,18,2,1,1,1
284513,40.7199,-74.0003,2,12,5,0,1,0
340763,40.7578,-73.9757,3,3,3,1,1,1
92502,40.7309,-73.9759,1,22,4,0,1,0
198119,40.7142,-74.009,1,8,1,0,1,0
336682,40.8909,-73.9063,3,15,2,4,5,2
532701,40.7212,-73.9839,3,22,0,0,1,0
514643,40.7287,-73.9986,3,10,5,0,1,0
107583,40.7915,-73.9648,1,9,1,1,1,1
301591,40.7448,-73.9914,2,22,3,1,1,1
326167,40.7622,-73.9718,2,21,2,1,1,1
501452,40.7633,-73.9751,3,21,3,1,1,1
427919,40.7611,-73.9975,3,4,0,1,1,1
510992,40.769,-73.9822,3,22,4,1,1,1
107577,40.7485,-73.9803,1,9,1,1,1,1
7159,40.7317,-73.9932,0,8,6,0,1,0
514124,40.7421,-73.9934,3,7,5,0,1,1
234737,40.7214,-73.9881,2,21,4,0,1,0
484199,40.7326,-73.9935,3,18,1,0,1,0
48847,40.7627,-73.9654,1,22,3,1,1,1
375103,40.7267,-73.9926,3,19,6,0,1,0
258370,40.7544,-73.9635,2,14,4,1,1,1
29089,40.7258,-73.9975,0,14,5,0,1,0
458115,40.6909,-74.178,3,8,4,3,2,4
486134,40.7351,-73.9934,3,23,1,0,1,0
72567,40.7489,-73.9897,1,10,1,1,1,1
374167,40.7292,-73.9871,3,16,6,0,1,0
374632,40.7241,-73.998,3,18,6,0,1,0
327648,40.7447,-73.957,3,7,1,1,1,0
189818,40.7336,-73.9975,1,18,6,0,1,0
153832,40.7114,-73.964,1,14,2,0,1,0
101734,40.7299,-73.999,1,17,6,0,1,0
90663,40.7199,-74.0035,1,18,4,0,1,0
497210,40.7334,-73.9873,3,14,3,0,1,1
391566,40.7947,-73.9719,3,4,2,1,1,1
405271,40.7653,-73.9828,3,20,3,1,1,1
16442,40.731,-73.9914,0,17,0,0,1,0
504739,40.7179,-73.9483,3,9,4,0,1,0
94461,40.7162,-73.9624,1,12,5,0,1,0
124210,40.7732,-73.8857,1,20,3,4,1,2
519484,40.7969,-73.9727,3,20,5,1,1,1
194052,40.7333,-74.0047,1,15,0,0,1,0
275928,40.6719,-73.9645,2,20,2,0,1,0
15939,40.766,-73.9891,0,6,0,1,1,1
97949,40.7599,-73.9964,1,22,5,1,1,1
299083,40.7501,-73.9813,2,13,3,1,1,1
528292,40.7501,-73.988,3,7,0,1,1,1
500758,40.7147,-73.9761,3,19,3,0,1,0
166808,40.7105,-73.9638,1,1,4,0,1,0
344049,40.7286,-73.9947,3,15,3,0,1,0
102670,40.7215,-73.9974,1,23,6,0,1,0
402765,40.7536,-73.9733,3,16,3,1,1,1
494979,40.7649,-73.9612,3,7,3,1,1,1
184234,40.7274,-73.9938,1,22,5,0,1,0
209860,40.7902,-73.9672,1,13,2,1,1,1
556520,40.7653,-73.9716,4,23,5,1,1,1
548035,40.7682,-73.9823,3,16,2,1,1,1
105068,40.781,-73.9725,1,16,0,1,1,1
490431,40.7239,-73.9992,3,16,2,0,1,0
186712,40.6689,-73.9865,1,4,6,0,1,0
62931,40.7163,-73.9406,1,4,6,0,1,0
340631,40.7567,-73.9944,3,0,3,1,1,1
221017,40.7545,-73.9867,2,17,1,1,1,1
145261,40.7325,-73.9817,1,4,1,0,1,0
516501,40.7574,-74.0008,3,16,5,1,1,1
523643,40.7346,-73.9805,3,10,6,0,1,0
452969,40.7296,-73.9931,3,17,3,0,1,0
258796,40.7841,-73.9547,2,16,4,1,1,1
344145,40.724,-74.0045,3,15,3,0,1,0
507057,40.7225,-74.0012,3,16,4,0,1,0
207677,40.7605,-74.0028,1,9,2,1,1,1
520709,40.7309,-73.9741,3,22,5,0,1,0
197796,40.7586,-73.9909,1,7,1,1,1,1
331218,40.6636,-73.9896,3,18,1,0,1,0
280618,40.7741,-73.9824,2,4,4,1,1,1
38425,40.7437,-73.9908,1,19,1,0,1,1
17108,40.7704,-73.9601,0,13,1,1,1,1
